"표준 성분명
standard_name","제품 카테고리
category","최종 등급
risk_level","왜 이 등급인지
basis","사용자 주의사항 - 초본
warning","사용자 주의사항
warning","사용자용 쉬운 설명
description"
빙하수,기초원료,Low,EWG - A,,"일반적인 사용 조건에서는 특별한 주의가 적지만, 눈에 들어가거나 먹지 않도록 하세요.","빙하수은(는) 제품의 형태, 질감, 거품 또는 사용감을 조절하는 보조 원료입니다. 일반적인 사용 조건에서는 위험도가 낮은 편이며 기본적인 눈·섭취 주의만 필요합니다."
사이퍼메트린,살충제,High,,,분사액을 직접 흡입하지 말고 사용 후 충분히 환기하세요. 음식물·반려동물·어린이 주변 사용을 피하세요.,"사이퍼메트린은(는) 벌레를 죽이거나 접근을 줄이기 위해 쓰이는 살충·기피 성분입니다. 벌레에 작용하는 성분이라 흡입하거나 먹지 않도록 해야 하며, 주변 환경과 반려동물에도 주의가 필요합니다."
살비아잎추출물,식물추출물,Low,EWG - C,"May cause an allergic skin reaction (some)
Harmful if swallowed (some)
Harmful in inhaled (some)","일반적인 사용 조건에서는 주의가 적지만, 알레르기가 있으면 피부 반응을 확인하세요.","살비아잎추출물은(는) 식물에서 유래한 추출물 또는 오일 성분입니다. 일반적인 사용 조건에서는 위험도가 낮은 편이지만, 알레르기가 있는 사용자는 반응을 확인하는 것이 좋습니다."
소듐라우레스설페이트,음이온계 계면활성제,Medium,EWG - C,"Chronic aquatic toxicity (some)
Toxic if inhaled (some)",눈에 들어가지 않게 하고 사용 후 손을 씻으세요. 피부가 민감하면 장갑을 착용하세요.,소듐라우레스설페이트은(는) 기름때와 오염이 물에 잘 씻기도록 돕는 계면활성제 성분입니다. 세정에는 도움이 되지만 눈이나 민감한 피부에 닿으면 자극을 줄 수 있어 사용 시 주의가 필요합니다.
소듐라우레이트,음이온계 계면활성제,Low,EWG - A,,"일반적인 사용 조건에서는 특별한 주의가 적지만, 눈에 들어가거나 먹지 않도록 하세요.",소듐라우레이트은(는) 기름때와 오염이 물에 잘 씻기도록 돕는 계면활성제 성분입니다. 일반적인 사용 조건에서는 위험도가 낮은 편이며 기본적인 눈·섭취 주의만 필요합니다.
소듐라우릴글루코오스카복실레이트,음이온계 계면활성제,Medium,EWG - C,Causes skin and eye irritation (some),눈에 들어가지 않게 하고 사용 후 손을 씻으세요. 피부가 민감하면 장갑을 착용하세요.,소듐라우릴글루코오스카복실레이트은(는) 기름때와 오염이 물에 잘 씻기도록 돕는 계면활성제 성분입니다. 세정에는 도움이 되지만 눈이나 민감한 피부에 닿으면 자극을 줄 수 있어 사용 시 주의가 필요합니다.
소듐미리스테이트,음이온계 계면활성제,Low,"EWG - B
EPA - green circle",,"일반적인 사용 조건에서는 특별한 주의가 적지만, 눈에 들어가거나 먹지 않도록 하세요.",소듐미리스테이트은(는) 기름때와 오염이 물에 잘 씻기도록 돕는 계면활성제 성분입니다. 일반적인 사용 조건에서는 위험도가 낮은 편이며 기본적인 눈·섭취 주의만 필요합니다.
소듐알킬벤젠설포네이트,음이온계 계면활성제,Medium,,,눈에 들어가지 않게 하고 사용 후 손을 씻으세요. 피부가 민감하면 장갑을 착용하세요.,소듐알킬벤젠설포네이트은(는) 기름때와 오염이 물에 잘 씻기도록 돕는 계면활성제 성분입니다. 세정에는 도움이 되지만 눈이나 민감한 피부에 닿으면 자극을 줄 수 있어 사용 시 주의가 필요합니다.
소듐코코일글루타메이트,음이온계 계면활성제,Low,"EWG - B
EPA - green circle",Low concern for skin irritation/allergies,"일반적인 사용 조건에서는 특별한 주의가 적지만, 눈에 들어가거나 먹지 않도록 하세요.",소듐코코일글루타메이트은(는) 기름때와 오염이 물에 잘 씻기도록 돕는 계면활성제 성분입니다. 일반적인 사용 조건에서는 위험도가 낮은 편이며 기본적인 눈·섭취 주의만 필요합니다.
소듐피리싸이온,보존제/살균보조,Medium,EWG - C,"Harmful in contact with skin (some)
Harmful if swallowed (some)
Harmful in inhaled (some)",피부가 민감하면 직접 접촉을 줄이고 눈에 들어가지 않게 하세요. 이상 반응이 있으면 사용을 중단하세요.,소듐피리싸이온은(는) 제품이 쉽게 변질되지 않도록 돕거나 미생물 증식을 억제하는 보존·살균 관련 성분입니다. 제품 보존에는 도움이 되지만 일부 사용자에게 피부 자극이나 알레르기 반응을 일으킬 수 있습니다.
소듐하이알루로네이트,보습,Low,"EWG - C
EPA - green circle",,"일반적인 사용 조건에서는 특별한 주의가 적지만, 눈에 들어가거나 먹지 않도록 하세요.",소듐하이알루로네이트은(는) 수분감이나 사용감을 보조하는 보습·컨디셔닝 성분입니다. 일반적인 사용 조건에서는 위험도가 낮은 편이며 기본적인 눈·섭취 주의만 필요합니다.
소르비탄모노올리에이트,비이온계 계면활성제,Low,"EWG - B
EPA - green circle",Low concern for skin allergies and irritation,"일반적인 사용 조건에서는 특별한 주의가 적지만, 눈에 들어가거나 먹지 않도록 하세요.",소르비탄모노올리에이트은(는) 기름때와 오염이 물에 잘 씻기도록 돕는 계면활성제 성분입니다. 일반적인 사용 조건에서는 위험도가 낮은 편이며 기본적인 눈·섭취 주의만 필요합니다.
솔잎추출물,식물추출물,Low,EWG - C,,"일반적인 사용 조건에서는 주의가 적지만, 알레르기가 있으면 피부 반응을 확인하세요.","솔잎추출물은(는) 식물에서 유래한 추출물 또는 오일 성분입니다. 일반적인 사용 조건에서는 위험도가 낮은 편이지만, 알레르기가 있는 사용자는 반응을 확인하는 것이 좋습니다."
수산화나트륨,pH조절제,High,"EWG - F
EPA - green circle","Safer ingredient
Causes severe skin burns and eye damage (high)
Harmful if swallowed (some)","반드시 환기하며 사용하고 장갑을 착용하세요. 눈·피부에 닿지 않게 하고, 다른 세정제와 섞지 마세요.",수산화나트륨은(는) 제품의 산도나 세정력을 조절하는 산·알칼리성 성분입니다. 강한 산성·알칼리성 때문에 피부나 눈에 심한 자극을 줄 수 있어 반드시 주의가 필요합니다.
수산화칼륨,pH조절제,High,"EWG - F
EPA - green circle","Safer ingredient
Causes severe skin burns and eye damage (high)
Harmful if swallowed (some)","반드시 환기하며 사용하고 장갑을 착용하세요. 눈·피부에 닿지 않게 하고, 다른 세정제와 섞지 마세요.",수산화칼륨은(는) 제품의 산도나 세정력을 조절하는 산·알칼리성 성분입니다. 강한 산성·알칼리성 때문에 피부나 눈에 심한 자극을 줄 수 있어 반드시 주의가 필요합니다.
숯가루,흡착/분말,Low,,,"일반적인 사용 조건에서는 특별한 주의가 적지만, 눈에 들어가거나 먹지 않도록 하세요.","숯가루은(는) 제품의 형태, 질감, 거품 또는 사용감을 조절하는 보조 원료입니다. 일반적인 사용 조건에서는 위험도가 낮은 편입니다."
스테아릭애씨드,지방산,Low,"EWG - B
EPA - green circle","May cause respiratory irritation (some)
Causes skin and eye irritation (low)","일반적인 사용 조건에서는 특별한 주의가 적지만, 눈에 들어가거나 먹지 않도록 하세요.",스테아릭애씨드은(는) 제품의 기능을 보조하기 위해 사용되는 성분입니다. 일반적인 사용 조건에서는 위험도가 낮은 편이며 기본적인 눈·섭취 주의만 필요합니다.
스펀레이스,부직포/기재,Low,,,"일반적인 사용 조건에서는 특별한 주의가 적지만, 눈에 들어가거나 먹지 않도록 하세요.","스펀레이스은(는) 제품의 형태, 질감, 거품 또는 사용감을 조절하는 보조 원료입니다. 일반적인 사용 조건에서는 위험도가 낮은 편입니다."
시트랄,향료 알레르기성분,Medium,EWG - C,"May cause an allergic skin reaction (some)
Toxic if swallowed (some)
Toxic if inhaled (some)
Toxic in contact with skin (some)",향에 민감하거나 알레르기가 있으면 사용량을 줄이고 환기하세요. 피부에 직접 닿지 않게 하세요.,"시트랄은(는) 제품에 향을 더하거나 냄새를 조절하기 위해 쓰이는 향료 성분입니다. 향에 민감한 사람에게 두통, 눈 자극, 피부 알레르기 같은 불편을 줄 수 있어 사용 시 주의가 필요합니다."
시트로넬롤,향료 알레르기성분,Medium,EWG - C,"Causes skin burns and eye damage (some)
Toxic if swallowed (some)
Toxic if inhaled (some)
Toxic in contact with skin (some)",향에 민감하거나 알레르기가 있으면 사용량을 줄이고 환기하세요. 피부에 직접 닿지 않게 하세요.,"시트로넬롤은(는) 제품에 향을 더하거나 냄새를 조절하기 위해 쓰이는 향료 성분입니다. 향에 민감한 사람에게 두통, 눈 자극, 피부 알레르기 같은 불편을 줄 수 있어 사용 시 주의가 필요합니다."
시트르산아연이수화물,무기염/성능보조,Low,EWG - C,,"일반적인 사용 조건에서는 특별한 주의가 적지만, 눈에 들어가거나 먹지 않도록 하세요.",시트르산아연이수화물은(는) 다른 성분을 녹이거나 제품 성능을 보조하는 용제·성능보조 성분입니다. 일반적인 사용 조건에서는 위험도가 낮은 편입니다.
식초,천연산/세정보조,Low,"EWG - A
EPA - green circle",,"일반적인 사용 조건에서는 주의가 적지만, 알레르기가 있으면 피부 반응을 확인하세요.","식초은(는) 제품의 산도나 세정력을 조절하는 산·알칼리성 성분입니다. 일반적인 사용 조건에서는 위험도가 낮은 편이지만, 알레르기가 있는 사용자는 반응을 확인하는 것이 좋습니다."
신나밀알코올,향료 알레르기성분,Medium,EWG - C,"Harmful if swallowed (some)
May cause an allergic skin reaction (some)",향에 민감하거나 알레르기가 있으면 사용량을 줄이고 환기하세요. 피부에 직접 닿지 않게 하세요.,"신나밀알코올은(는) 제품에 향을 더하거나 냄새를 조절하기 위해 쓰이는 향료 성분입니다. 향에 민감한 사람에게 두통, 눈 자극, 피부 알레르기 같은 불편을 줄 수 있어 사용 시 주의가 필요합니다."
쑥잎추출물,식물추출물,Low,EWG - C,Evidence of skin irritation/allergies,"일반적인 사용 조건에서는 주의가 적지만, 알레르기가 있으면 피부 반응을 확인하세요.","쑥잎추출물은(는) 식물에서 유래한 추출물 또는 오일 성분입니다. 일반적인 사용 조건에서는 위험도가 낮은 편이지만, 알레르기가 있는 사용자는 반응을 확인하는 것이 좋습니다."
씨솔트,무기염/천연성분,Low,EWG - A,,"일반적인 사용 조건에서는 주의가 적지만, 알레르기가 있으면 피부 반응을 확인하세요.","씨솔트은(는) 식물에서 유래한 추출물 또는 오일 성분입니다. 일반적인 사용 조건에서는 위험도가 낮은 편이지만, 알레르기가 있는 사용자는 반응을 확인하는 것이 좋습니다."
아미노메틸프로판올,pH조절제,Medium,EWG - C,Causes skin and eye irritation (some),눈·피부 접촉을 줄이고 사용 후 손을 씻으세요. 냄새가 강하면 환기하면서 사용하세요.,아미노메틸프로판올은(는) 제품의 산도나 세정력을 조절하는 산·알칼리성 성분입니다. 일부 자극 또는 알레르기 가능성이 있어 사용 환경에 따라 주의가 필요합니다.
아밀라아제,효소,Medium,"EWG - B
EPA - yellow triangle",Associated with respiratory disease (some),"분말이나 분무 형태를 흡입하지 않도록 주의하고, 사용 후 손을 씻으세요.",아밀라아제은(는) 음식물 찌꺼기나 얼룩 분해를 돕는 효소 성분입니다. 오염 분해에는 도움이 되지만 가루나 분무 형태로 흡입하면 호흡기 민감 반응이 생길 수 있습니다.
아밀신남알,향료 알레르기성분,Medium,EWG - D,May cause an allergic skin reaction (some),향에 민감하거나 알레르기가 있으면 사용량을 줄이고 환기하세요. 피부에 직접 닿지 않게 하세요.,"아밀신남알은(는) 제품에 향을 더하거나 냄새를 조절하기 위해 쓰이는 향료 성분입니다. 향에 민감한 사람에게 두통, 눈 자극, 피부 알레르기 같은 불편을 줄 수 있어 사용 시 주의가 필요합니다."
아보카도오일,식물오일,Low,"EWG - C
EPA - green circle","May cause respiratory irritation (some)
May cause skin and eye irritation (some)","일반적인 사용 조건에서는 주의가 적지만, 알레르기가 있으면 피부 반응을 확인하세요.","아보카도오일은(는) 식물에서 유래한 추출물 또는 오일 성분입니다. 일반적인 사용 조건에서는 위험도가 낮은 편이지만, 알레르기가 있는 사용자는 반응을 확인하는 것이 좋습니다."
아세트산에틸,용제/향료,Medium,"EWG - C
EPA - green half circle",May cause drowsiness or dizziness (moderate),향에 민감하거나 알레르기가 있으면 사용량을 줄이고 환기하세요. 피부에 직접 닿지 않게 하세요.,"아세트산에틸은(는) 제품에 향을 더하거나 냄새를 조절하기 위해 쓰이는 향료 성분입니다. 향에 민감한 사람에게 두통, 눈 자극, 피부 알레르기 같은 불편을 줄 수 있어 사용 시 주의가 필요합니다."
아이소이수퍼,향료 구성성분,Medium,EWG - C,May cause an allergic skin reaction and skin irritation (some),향에 민감하거나 알레르기가 있으면 사용량을 줄이고 환기하세요. 피부에 직접 닿지 않게 하세요.,"아이소이수퍼은(는) 제품에 향을 더하거나 냄새를 조절하기 위해 쓰이는 향료 성분입니다. 향에 민감한 사람에게 두통, 눈 자극, 피부 알레르기 같은 불편을 줄 수 있어 사용 시 주의가 필요합니다."
아이소프로필미리스테이트,향료/용제,Medium,"EWG - C
EPA - green half circle",Causes skin irritation (some),향에 민감하거나 알레르기가 있으면 사용량을 줄이고 환기하세요. 피부에 직접 닿지 않게 하세요.,"아이소프로필미리스테이트은(는) 제품에 향을 더하거나 냄새를 조절하기 위해 쓰이는 향료 성분입니다. 향에 민감한 사람에게 두통, 눈 자극, 피부 알레르기 같은 불편을 줄 수 있어 사용 시 주의가 필요합니다."
아이오도프로피닐부틸카바메이트,보존제,Medium,EWG - C,"Harmful in inhaled (some)
persistent in the environment, bioaccumulative (some)
May cause respiratory irritation (some)",피부가 민감하면 직접 접촉을 줄이고 눈에 들어가지 않게 하세요. 이상 반응이 있으면 사용을 중단하세요.,아이오도프로피닐부틸카바메이트은(는) 제품이 쉽게 변질되지 않도록 돕거나 미생물 증식을 억제하는 보존·살균 관련 성분입니다. 제품 보존에는 도움이 되지만 일부 사용자에게 피부 자극이나 알레르기 반응을 일으킬 수 있습니다.
아황산나트륨,환원제/보존보조,Medium,"EWG - C
EPA - green circle",Causes skin allergies (some),피부가 민감하면 직접 접촉을 줄이고 눈에 들어가지 않게 하세요. 이상 반응이 있으면 사용을 중단하세요.,아황산나트륨은(는) 제품이 쉽게 변질되지 않도록 돕거나 미생물 증식을 억제하는 보존·살균 관련 성분입니다. 제품 보존에는 도움이 되지만 일부 사용자에게 피부 자극이나 알레르기 반응을 일으킬 수 있습니다.
알로에베라잎추출물,식물추출물,Low,EWG - C,,"일반적인 사용 조건에서는 주의가 적지만, 알레르기가 있으면 피부 반응을 확인하세요.","알로에베라잎추출물은(는) 식물에서 유래한 추출물 또는 오일 성분입니다. 일반적인 사용 조건에서는 위험도가 낮은 편이지만, 알레르기가 있는 사용자는 반응을 확인하는 것이 좋습니다."
알코올 C12-14 에톡실레이트,비이온계 계면활성제,Medium,"EWG - C
EPA - green circle",Chronic toxicity to aquatic life (some),눈에 들어가지 않게 하고 사용 후 손을 씻으세요. 피부가 민감하면 장갑을 착용하세요.,알코올 C12-14 에톡실레이트은(는) 기름때와 오염이 물에 잘 씻기도록 돕는 계면활성제 성분입니다. 세정에는 도움이 되지만 눈이나 민감한 피부에 닿으면 자극을 줄 수 있어 사용 시 주의가 필요합니다.
알코올 C12-16 에톡실레이트,비이온계 계면활성제,Medium,"EWG - C
EPA - green circle",Chronic toxicity to aquatic life (some),눈에 들어가지 않게 하고 사용 후 손을 씻으세요. 피부가 민감하면 장갑을 착용하세요.,알코올 C12-16 에톡실레이트은(는) 기름때와 오염이 물에 잘 씻기도록 돕는 계면활성제 성분입니다. 세정에는 도움이 되지만 눈이나 민감한 피부에 닿으면 자극을 줄 수 있어 사용 시 주의가 필요합니다.
알코올폴리옥시에틸렌에테르,비이온계 계면활성제,Medium,EWG - C,"Cause reproductive toxicity (some)
Carcinogenic to humans (some)",눈에 들어가지 않게 하고 사용 후 손을 씻으세요. 피부가 민감하면 장갑을 착용하세요.,알코올폴리옥시에틸렌에테르은(는) 기름때와 오염이 물에 잘 씻기도록 돕는 계면활성제 성분입니다. 세정에는 도움이 되지만 눈이나 민감한 피부에 닿으면 자극을 줄 수 있어 사용 시 주의가 필요합니다.
알킬글루코사이드,비이온계 계면활성제,Low,"EWG - B
EPA - green circle",,"일반적인 사용 조건에서는 특별한 주의가 적지만, 눈에 들어가거나 먹지 않도록 하세요.",알킬글루코사이드은(는) 기름때와 오염이 물에 잘 씻기도록 돕는 계면활성제 성분입니다. 일반적인 사용 조건에서는 위험도가 낮은 편입니다.
알킬디메틸아민옥사이드,양쪽성 계면활성제,Medium,"EWG - C
EPA - green circle",Acute toxicity to aquatic life (some),눈에 들어가지 않게 하고 사용 후 손을 씻으세요. 피부가 민감하면 장갑을 착용하세요.,알킬디메틸아민옥사이드은(는) 기름때와 오염이 물에 잘 씻기도록 돕는 계면활성제 성분입니다. 세정에는 도움이 되지만 눈이나 민감한 피부에 닿으면 자극을 줄 수 있어 사용 시 주의가 필요합니다.
알킬벤젠설폰산,음이온계 계면활성제,Medium,EWG - C,"Chronic toxicity to aquatic life (some)
Harmful if swallowed (some)
Causes skin irritation (some)",눈에 들어가지 않게 하고 사용 후 손을 씻으세요. 피부가 민감하면 장갑을 착용하세요.,알킬벤젠설폰산은(는) 기름때와 오염이 물에 잘 씻기도록 돕는 계면활성제 성분입니다. 세정에는 도움이 되지만 눈이나 민감한 피부에 닿으면 자극을 줄 수 있어 사용 시 주의가 필요합니다.
알파-올레핀설폰산나트륨,음이온계 계면활성제,Medium,EWG - C,"Causes skin irritation (some)
Causes serious eye damage (some)",눈에 들어가지 않게 하고 사용 후 손을 씻으세요. 피부가 민감하면 장갑을 착용하세요.,알파-올레핀설폰산나트륨은(는) 기름때와 오염이 물에 잘 씻기도록 돕는 계면활성제 성분입니다. 세정에는 도움이 되지만 눈이나 민감한 피부에 닿으면 자극을 줄 수 있어 사용 시 주의가 필요합니다.
알파-이소메칠이오논,향료 알레르기성분,Medium,EWG - C,May cause an allergic skin reaction and skin irritation (some),향에 민감하거나 알레르기가 있으면 사용량을 줄이고 환기하세요. 피부에 직접 닿지 않게 하세요.,"알파-이소메칠이오논은(는) 제품에 향을 더하거나 냄새를 조절하기 위해 쓰이는 향료 성분입니다. 향에 민감한 사람에게 두통, 눈 자극, 피부 알레르기 같은 불편을 줄 수 있어 사용 시 주의가 필요합니다."
액화석유가스,추진제,High,EWG - F,"May cause cancer (high)
harmful if inhaled (some)",화기 근처에서 사용하지 말고 밀폐된 공간에서 오래 흡입하지 마세요. 사용 후 충분히 환기하세요.,액화석유가스은(는) 분사형 제품에서 내용물을 밖으로 밀어내는 추진제 성분입니다. 휘발성·가연성이 있어 불꽃 가까이에서 사용하거나 밀폐공간에서 오래 흡입하면 위험할 수 있습니다.
에스터쿼터너리암모늄염,양이온계 계면활성제/유연제,Medium,,,눈에 들어가지 않게 하고 사용 후 손을 씻으세요. 피부가 민감하면 장갑을 착용하세요.,에스터쿼터너리암모늄염은(는) 섬유를 부드럽게 하거나 정전기를 줄이는 양이온계 계면활성제 성분입니다. 세정에는 도움이 되지만 눈이나 민감한 피부에 닿으면 자극을 줄 수 있어 사용 시 주의가 필요합니다.
에탄올,용제/보존제,Medium,"EWG - A
EPA - green circle",,피부가 민감하면 직접 접촉을 줄이고 눈에 들어가지 않게 하세요. 이상 반응이 있으면 사용을 중단하세요.,에탄올은(는) 제품이 쉽게 변질되지 않도록 돕거나 미생물 증식을 억제하는 보존·살균 관련 성분입니다. 제품 보존에는 도움이 되지만 일부 사용자에게 피부 자극이나 알레르기 반응을 일으킬 수 있습니다.
에틸렌비닐아세트산,고분자/기재,Low,EWG - C,,"일반적인 사용 조건에서는 특별한 주의가 적지만, 눈에 들어가거나 먹지 않도록 하세요.","에틸렌비닐아세테이트은(는) 제품의 형태, 질감, 거품 또는 사용감을 조절하는 보조 원료입니다. 일반적인 사용 조건에서는 위험도가 낮은 편입니다."
염산,pH조절제,High,"EWG - F
EPA - yellow triangle","Causes sever skin burns and eye damage (high)
Toxic if inhaled (moderate)
Asthmagen (irritation) (moderate)","반드시 환기하며 사용하고 장갑을 착용하세요. 눈·피부에 닿지 않게 하고, 다른 세정제와 섞지 마세요.",염산은(는) 제품의 산도나 세정력을 조절하는 산·알칼리성 성분입니다. 강한 산성·알칼리성 때문에 피부나 눈에 심한 자극을 줄 수 있어 반드시 주의가 필요합니다.
염화나트륨,무기염/점도조절,Low,"EWG - A
EPA - green circle",,"일반적인 사용 조건에서는 특별한 주의가 적지만, 눈에 들어가거나 먹지 않도록 하세요.","염화나트륨은(는) 제품의 점도, 탈취, 세정보조 등에 쓰이는 무기염 성분입니다. 일반적인 사용 조건에서는 위험도가 낮은 편이며 기본적인 눈·섭취 주의만 필요합니다."
염화마그네슘,무기염,Low,"EWG - A
EPA - green circle",,"일반적인 사용 조건에서는 특별한 주의가 적지만, 눈에 들어가거나 먹지 않도록 하세요.","염화마그네슘은(는) 제품의 점도, 탈취, 세정보조 등에 쓰이는 무기염 성분입니다. 일반적인 사용 조건에서는 위험도가 낮은 편이며 기본적인 눈·섭취 주의만 필요합니다."
염화아연,탈취/무기염,High,"EWG - F
","very toxic to aquatic life (high)
causes severe skin burns and eye damage (high)
harmful if swallowed (some)
may cause respiratory irritation (some)",사용 시 환기하고 장갑을 착용하세요. 눈·피부 접촉과 흡입을 피하고 다른 제품과 섞지 마세요.,"염화아연은(는) 제품의 점도, 탈취, 세정보조 등에 쓰이는 무기염 성분입니다. 피부·눈 자극, 흡입 유해성 또는 환경독성 우려가 있어 주의해서 사용해야 합니다."
오산화인,무기물,High,,,눈·피부 접촉을 피하고 환기하세요. 다른 세정제와 섞지 말고 어린이 손이 닿지 않는 곳에 보관하세요.,"오산화인은(는) 제품의 점도, 탈취, 세정보조 등에 쓰이는 무기염 성분입니다. 피부·눈 자극, 흡입 유해성 또는 환경독성 우려가 있어 주의해서 사용해야 합니다."
"옥시레인, 모노(2-에틸헥실) 에테르",비이온계 계면활성제,Medium,EPA - green circle,,눈에 들어가지 않게 하고 사용 후 손을 씻으세요. 피부가 민감하면 장갑을 착용하세요.,"옥시레인, 모노(2-에틸헥실)에테르은(는) 기름때와 오염이 물에 잘 씻기도록 돕는 계면활성제 성분입니다. 세정에는 도움이 되지만 눈이나 민감한 피부에 닿으면 자극을 줄 수 있어 사용 시 주의가 필요합니다."
옥타메틸사이클로테트라실록세인,실리콘/향료보조,High,EWG - F,"persistent in the environment (moderate)
may cause long lasting harmful effects to aquatic life (moderate)
high developmental and reproductive toxicity",필요한 만큼만 사용하고 흡입·피부 접촉을 줄이세요. 남은 제품은 배수구에 함부로 버리지 마세요.,옥타메틸사이클로테트라실록세인은(는) 제품에 향을 더하거나 냄새를 조절하기 위해 쓰이는 향료 성분입니다. 환경에 오래 남거나 수생생물에 영향을 줄 수 있어 필요한 양만 조심해서 사용하는 것이 좋습니다.
온천수,기초원료,Low,"EWG - A
EPA - green circle",,"일반적인 사용 조건에서는 특별한 주의가 적지만, 눈에 들어가거나 먹지 않도록 하세요.","온천수은(는) 제품의 형태, 질감, 거품 또는 사용감을 조절하는 보조 원료입니다. 일반적인 사용 조건에서는 위험도가 낮은 편이며 기본적인 눈·섭취 주의만 필요합니다."
유자껍질추출물,식물추출물,Low,EWG - C,"acute aquatic toxicity (some)
skin allergy (some)","일반적인 사용 조건에서는 주의가 적지만, 알레르기가 있으면 피부 반응을 확인하세요.","유자껍질추출물은(는) 식물에서 유래한 추출물 또는 오일 성분입니다. 일반적인 사용 조건에서는 위험도가 낮은 편이지만, 알레르기가 있는 사용자는 반응을 확인하는 것이 좋습니다."
유칼립투스잎추출물,식물추출물,Medium,EWG - B,"may cause an allergic skin reaction (some)
",천연 성분이라도 알레르기가 있을 수 있으므로 민감한 피부에는 먼저 소량으로 확인하세요.,유칼립투스잎추출물은(는) 식물에서 유래한 추출물 또는 오일 성분입니다. 천연 유래라도 개인에 따라 피부 알레르기나 자극이 생길 수 있어 주의가 필요합니다.
육계나무껍질추출물,식물추출물,Medium,EWG - C,skin allergies & irritation (some),천연 성분이라도 알레르기가 있을 수 있으므로 민감한 피부에는 먼저 소량으로 확인하세요.,육계나무껍질추출물은(는) 식물에서 유래한 추출물 또는 오일 성분입니다. 천연 유래라도 개인에 따라 피부 알레르기나 자극이 생길 수 있어 주의가 필요합니다.
이미다졸린쿼터너리암모늄염,양이온계 계면활성제/유연제,Medium,EWG - C,,눈에 들어가지 않게 하고 사용 후 손을 씻으세요. 피부가 민감하면 장갑을 착용하세요.,이미다졸린쿼터너리암모늄염은(는) 섬유를 부드럽게 하거나 정전기를 줄이는 양이온계 계면활성제 성분입니다. 세정에는 도움이 되지만 눈이나 민감한 피부에 닿으면 자극을 줄 수 있어 사용 시 주의가 필요합니다.
이미프로트린,살충제,High,high,"acute aquatic toxicity (high)
harmful if swallowed/inhaled",분사액을 직접 흡입하지 말고 사용 후 충분히 환기하세요. 음식물·반려동물·어린이 주변 사용을 피하세요.,"이미프로트린은(는) 벌레를 죽이거나 접근을 줄이기 위해 쓰이는 살충·기피 성분입니다. 벌레에 작용하는 성분이라 흡입하거나 먹지 않도록 해야 하며, 주변 환경과 반려동물에도 주의가 필요합니다."
인산,산/세정성분,High,"EWG - F
EPA - yellow triangle","Causes severe skin burns and eye damage (high)
Cause lake pollution and eutrophication (high)
Harmful if swallowed","반드시 환기하며 사용하고 장갑을 착용하세요. 눈·피부에 닿지 않게 하고, 다른 세정제와 섞지 마세요.",인산은(는) 제품의 산도나 세정력을 조절하는 산·알칼리성 성분입니다. 강한 산성·알칼리성 때문에 피부나 눈에 심한 자극을 줄 수 있어 반드시 주의가 필요합니다.
자몽씨추출물,식물추출물,Medium,EWG - D,"concern for reproductive toxicity (some)
acute toxicity to aquatic life (some)
Causes skin burns and eye damage (some)
Toxic of swallowed (some)",천연 성분이라도 알레르기가 있을 수 있으므로 민감한 피부에는 먼저 소량으로 확인하세요.,자몽씨추출물은(는) 식물에서 유래한 추출물 또는 오일 성분입니다. 천연 유래라도 개인에 따라 피부 알레르기나 자극이 생길 수 있어 주의가 필요합니다.
잔탄검,점증제,Low,"EWG - B
EPA - green circle",Causes skin and eye irritation (some),"일반적인 사용 조건에서는 특별한 주의가 적지만, 눈에 들어가거나 먹지 않도록 하세요.","잔탄검은(는) 제품의 형태, 질감, 거품 또는 사용감을 조절하는 보조 원료입니다. 일반적인 사용 조건에서는 위험도가 낮은 편이며 기본적인 눈·섭취 주의만 필요합니다."
정제수,용제/기초원료,Low,"EWG - A
EPA - green circle",safer ingredient,"일반적인 사용 조건에서는 특별한 주의가 적지만, 눈에 들어가거나 먹지 않도록 하세요.",정제수은(는) 다른 성분을 녹이거나 제품 성능을 보조하는 용제·성능보조 성분입니다. 일반적인 사용 조건에서는 위험도가 낮은 편이며 기본적인 눈·섭취 주의만 필요합니다.
제라니올,향료 알레르기성분,Medium,EWG - C,"May cause an allergic skin reaction (some)
Causes eye damage (some)",향에 민감하거나 알레르기가 있으면 사용량을 줄이고 환기하세요. 피부에 직접 닿지 않게 하세요.,"제라니올은(는) 제품에 향을 더하거나 냄새를 조절하기 위해 쓰이는 향료 성분입니다. 향에 민감한 사람에게 두통, 눈 자극, 피부 알레르기 같은 불편을 줄 수 있어 사용 시 주의가 필요합니다."
제타-사이퍼메트린,살충제,High,high,"acute aquatic toxicity (high)
harmful if swallowed/inhaled",분사액을 직접 흡입하지 말고 사용 후 충분히 환기하세요. 음식물·반려동물·어린이 주변 사용을 피하세요.,"제타-사이퍼메트린은(는) 벌레를 죽이거나 접근을 줄이기 위해 쓰이는 살충·기피 성분입니다. 벌레에 작용하는 성분이라 흡입하거나 먹지 않도록 해야 하며, 주변 환경과 반려동물에도 주의가 필요합니다."
